strategy_id,entry_time,exit_time,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
C,2024-01-01T00:00:00+00:00,2024-01-01T00:01:00+00:00,long,100.02902789463162,100.06585861861477,1.0,1.0,1.0,binary_win
C,2024-01-01T00:01:00+00:00,2024-01-01T00:02:00+00:00,long,100.06585861861477,100.21818526216295,1.0,1.0,1.0,binary_win
C,2024-01-01T00:02:00+00:00,2024-01-01T00:03:00+00:00,long,100.21818526216295,100.23714120074561,1.0,1.0,1.0,binary_win
C,2024-01-01T00:03:00+00:00,2024-01-01T00:04:00+00:00,long,100.23714120074561,100.25495247821587,1.0,1.0,1.0,binary_win
C,2024-01-01T00:04:00+00:00,2024-01-01T00:05:00+00:00,long,100.25495247821587,100.18701986904105,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:05:00+00:00,2024-01-01T00:06:00+00:00,long,100.18701986904105,100.10951690963661,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:06:00+00:00,2024-01-01T00:07:00+00:00,long,100.10951690963661,100.21018150140421,4.0,4.0,1.0,binary_win
C,2024-01-01T00:07:00+00:00,2024-01-01T00:08:00+00:00,long,100.21018150140421,100.20192794804554,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:08:00+00:00,2024-01-01T00:09:00+00:00,long,100.20192794804554,100.26779907365886,2.0,2.0,1.0,binary_win
C,2024-01-01T00:09:00+00:00,2024-01-01T00:10:00+00:00,long,100.26779907365886,100.40423761767767,1.0,1.0,1.0,binary_win
C,2024-01-01T00:10:00+00:00,2024-01-01T00:11:00+00:00,long,100.40423761767767,100.29572238707107,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:11:00+00:00,2024-01-01T00:12:00+00:00,long,100.29572238707107,100.37795595388542,2.0,2.0,1.0,binary_win
C,2024-01-01T00:12:00+00:00,2024-01-01T00:13:00+00:00,long,100.37795595388542,100.52603686492121,1.0,1.0,1.0,binary_win
C,2024-01-01T00:13:00+00:00,2024-01-01T00:14:00+00:00,long,100.52603686492121,100.62019094557837,1.0,1.0,1.0,binary_win
C,2024-01-01T00:14:00+00:00,2024-01-01T00:15:00+00:00,long,100.62019094557837,100.57357324409323,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:15:00+00:00,2024-01-01T00:16:00+00:00,long,100.57357324409323,100.51444260184041,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:16:00+00:00,2024-01-01T00:17:00+00:00,long,100.51444260184041,100.67404297084906,4.0,4.0,1.0,binary_win
C,2024-01-01T00:17:00+00:00,2024-01-01T00:18:00+00:00,long,100.67404297084906,100.6229748666412,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:18:00+00:00,2024-01-01T00:19:00+00:00,long,100.6229748666412,100.58889764296045,2.0,-2.0,-1.0,binary_loss
C,2024-01-01T00:19:00+00:00,2024-01-01T00:20:00+00:00,long,100.58889764296045,100.65800624800866,4.0,4.0,1.0,binary_win
C,2024-01-01T00:20:00+00:00,2024-01-01T00:21:00+00:00,long,100.65800624800866,100.71104273617246,1.0,1.0,1.0,binary_win
C,2024-01-01T00:21:00+00:00,2024-01-01T00:22:00+00:00,long,100.71104273617246,100.8408961268487,1.0,1.0,1.0,binary_win
C,2024-01-01T00:22:00+00:00,2024-01-01T00:23:00+00:00,long,100.8408961268487,100.58901180005219,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:23:00+00:00,2024-01-01T00:24:00+00:00,long,100.58901180005219,100.70688101132785,2.0,2.0,1.0,binary_win
C,2024-01-01T00:24:00+00:00,2024-01-01T00:25:00+00:00,long,100.70688101132785,100.55486087761126,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:25:00+00:00,2024-01-01T00:26:00+00:00,long,100.55486087761126,100.57446524405387,2.0,2.0,1.0,binary_win
C,2024-01-01T00:26:00+00:00,2024-01-01T00:27:00+00:00,long,100.57446524405387,100.54411716185275,1.0,-1.0,-1.0,binary_loss
C,2024-01-01T00:27:00+00:00,2024-01-01T00:28:00+00:00,long,100.54411716185275,100.37340700754426,2.0,-2.0,-1.0,binary_loss
